station_m,image_number,pass,quality_score,station_error_m
0.0,1,outbound,0.7678102708209233,0.0
0.2,4,outbound,0.7513600281198289,0.1129401749017977
0.4,4,outbound,0.7513600281198289,0.08705982509820231
0.6000000000000001,12,outbound,0.9127239016840694,0.00994468592643849
0.8,29,outbound,0.9066276562794467,0.07409583114149176
1.0,29,outbound,0.9066276562794467,0.1259041688585082
1.2000000000000002,193,return,0.838235290622753,0.10476891871410277
1.4000000000000001,193,return,0.838235290622753,0.09523108128589719
1.6,189,return,0.8471042139676386,0.26216452407423985
1.8,189,return,0.8471042139676386,0.06216452407423989
2.0,189,return,0.8471042139676386,0.13783547592576006
2.2,43,outbound,0.7293140395579799,0.03642455621106233
2.4000000000000004,44,outbound,0.7292425055402654,0.044810056940076226
2.6,183,return,0.8090730130971261,0.06097117407717656
2.8000000000000003,183,return,0.8090730130971261,0.13902882592282362
3.0,177,return,0.755874554128445,0.21776221028748122
3.2,177,return,0.755874554128445,0.01776221028748104
3.4000000000000004,177,return,0.755874554128445,0.18223778971251914
3.6,176,return,0.6703001856933815,0.3347243252482661
3.8000000000000003,66,outbound,0.4848942015756778,0.029845252173402947
4.0,170,return,0.4701314858047711,0.06381784833495852
4.2,170,return,0.4701314858047711,0.2638178483349587
4.4,170,return,0.4701314858047711,0.46381784833495887
4.6000000000000005,167,return,0.4037399898808623,0.26099591593107263
4.800000000000001,167,return,0.4037399898808623,0.06099591593107245
5.0,165,return,0.4165318250278916,0.0953343405594893
5.2,165,return,0.4165318250278916,0.10466565944051087
5.4,161,return,0.5232854884994197,0.14176529355806
5.6000000000000005,161,return,0.5232854884994197,0.058234706441940176
5.800000000000001,158,return,0.6705522548922538,0.23135879634916456
6.0,158,return,0.6705522548922538,0.031358796349165274
6.2,157,return,0.7233768053510764,0.09660125475723813
6.4,155,return,0.7739676133719181,0.14417352654627624
6.6000000000000005,155,return,0.7739676133719181,0.055826473453723935
6.800000000000001,153,return,0.7769544769261747,0.0600607107411717
7.0,153,return,0.7769544769261747,0.1399392892588276
7.2,152,return,0.6917366602765752,0.0641549078038901
7.4,147,return,0.6261368833453202,0.06054650325284694
7.6000000000000005,147,return,0.6261368833453202,0.13945349674715324
7.800000000000001,147,return,0.6261368833453202,0.3394534967471534
8.0,143,return,0.457006548145646,0.10573247898356897
8.200000000000001,143,return,0.457006548145646,0.30573247898357003
8.4,141,return,0.341156915538247,0.13249576799944585
8.6,141,return,0.341156915538247,0.06750423200055344
8.8,137,return,0.4020513309771432,0.19671675042535952
9.0,137,return,0.4020513309771432,0.0032832495746397683
9.200000000000001,137,return,0.4020513309771432,0.20328324957464083
9.4,138,return,0.3999121543289225,0.4032832495746401
9.600000000000001,135,return,0.2183724773632899,0.025966386484277848
9.8,135,return,0.2183724773632899,0.17403361351572144
10.0,135,return,0.2183724773632899,0.37403361351572073
